H1,H2,P,LI
Web Scraping Practice,Available Products,Welcome to the web scraping task! Use your skills to extract the required data from this page.,Laptop
,Product Table,Sharp Objects,Smartphone
,Watch This Video,£47.82,Tablet
,Contact Us,✔ In stock,Smartwatch
,Product Information,"In a Dark, Dark Wood",
,Featured Products,£19.63,
,,✔ In stock,
,,The Past Never Ends,
,,£56.50,
,,✔ In stock,
,,A Murder in Time,
,,£16.64,
,,Out stock,
,,Wireless Headphones,
,,$49.99,
,,"Available colors: Black, White, Blue",
,,Smart Speaker,
,,$89.99,
,,"Available colors: Grey, Black",
,,Smart Watch,
,,$149.99,
,,"Available colors: Black, Silver, Gold",
,,© 2024 Web Scraping Practice. All Rights Reserved.,
